Problem_ID, |Operations|, |Resources|, Avg(Mi), Avg(Rim), Avg(pref), Avg(Tim), Avg(Him), Avg(Dim), Rim_mean, Rim_stdev, Rim_median, Rim_CV, Rim_range, Cross_resources, Total_run_time, Nodes, Queue_size, MIP_infeasible, LB, UB, greedy_1, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_2, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_3, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_4, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_5, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_6, time, feasibles, cross_resources, improved_generation, cross_best_solution, solution
16031, 68, 4, 7.456, 3.073, 0.926, 304.209, 0.822, 67.510, 1.897, 0.306, 3.000, 0.161, 1.000, -1, 0.000, 0, 0, False, 2752.0, 4398.0, 5049.0, 0.255, 100.000, 59.0, -1, True, 4749.0, 2.010, 100.000, 54.0, -1, True, 4611.0, 0.295, 100.000, 66.0, -1, True, 5183.0, 0.258, 100.000, 57.0, -1, True, 4398.0, 0.281, 100.000, 65.0, -1, True, 4918.0, 0.275, 100.000, 50.0, -1, True, 4398.0
16032, 35, 15, 2.457, 4.826, 3.714, 304.709, 0.633, 85.470, 2.571, 2.090, 5.000, 0.813, 7.000, -1, 0.000, 0, 0, False, 5771.0, 5904.0, 6141.0, 0.040, 100.000, 1.0, -1, True, 6229.0, 0.064, 100.000, 5.0, -1, True, 5904.0, 0.036, 100.000, 3.0, -1, True, 6183.0, 0.040, 100.000, 2.0, -1, True, 6132.0, 0.040, 100.000, 3.0, -1, True, 6395.0, 0.044, 100.000, 3.0, -1, True, 5904.0
16033, 22, 11, 2.818, 3.177, 2.818, 308.661, 0.655, 69.589, 2.727, 1.518, 3.000, 0.556, 5.000, -1, 0.000, 0, 0, False, 3349.0, 3397.0, 3521.0, 0.020, 100.000, 3.0, -1, True, 3551.0, 0.020, 100.000, 0.0, -1, False, 3397.0, 0.019, 100.000, 2.0, -1, True, 3411.0, 0.014, 100.000, 5.0, -1, True, 3518.0, 0.014, 100.000, 5.0, -1, True, 3397.0, 0.012, 100.000, 2.0, -1, True, 3397.0
16034, 28, 18, 2.464, 5.130, 0.679, 306.638, 0.594, 81.006, 2.500, 2.269, 5.000, 0.908, 8.000, -1, 0.000, 0, 0, False, 1401.0, 1691.0, 2150.0, 0.031, 100.000, 9.0, -1, True, 2341.0, 0.192, 100.000, 4.0, -1, True, 1778.0, 0.034, 100.000, 14.0, -1, True, 2056.0, 0.040, 100.000, 9.0, -1, True, 1691.0, 0.030, 100.000, 7.0, -1, True, 1901.0, 0.040, 100.000, 11.0, -1, True, 1691.0
16035, 16, 16, 2.438, 5.179, 0.750, 305.590, 0.783, 38.406, 3.188, 2.455, 6.000, 0.770, 7.000, -1, 0.000, 0, 0, False, 1278.0, 1278.0, 1380.0, 0.014, 100.000, 5.0, -1, True, 1278.0, 0.040, 100.000, 9.0, -1, True, 1278.0, 0.009, 100.000, 8.0, -1, True, 1580.0, 0.015, 100.000, 10.0, -1, True, 1278.0, 0.015, 100.000, 5.0, -1, True, 1488.0, 0.014, 100.000, 6.0, -1, True, 1278.0
16036, 44, 19, 2.591, 14.474, 4.045, 311.640, 0.893, 31.693, 4.045, 2.761, 15.000, 0.683, 9.000, -1, 0.000, 0, 0, False, 7941.0, 8437.0, 8938.0, 0.165, 100.000, 20.0, -1, True, 8592.0, 0.310, 100.000, 16.0, -1, True, 8437.0, 0.213, 100.000, 23.0, -1, True, 8926.0, 0.194, 100.000, 18.0, -1, True, 9021.0, 0.172, 100.000, 19.0, -1, True, 8903.0, 0.183, 100.000, 22.0, -1, True, 8437.0
16037, 45, 10, 2.400, 7.639, 3.822, 307.120, 0.934, 22.387, 1.800, 1.804, 8.000, 1.002, 5.000, -1, 0.000, 0, 0, False, 7899.0, 7943.0, 7959.0, 0.085, 100.000, 30.0, -1, True, 8195.0, 0.131, 100.000, 29.0, -1, True, 7943.0, 0.079, 100.000, 26.0, -1, True, 8181.0, 0.097, 100.000, 28.0, -1, True, 8352.0, 0.090, 100.000, 31.0, -1, True, 7974.0, 0.100, 100.000, 25.0, -1, True, 7943.0
16038, 46, 14, 2.478, 10.360, 0.935, 290.623, 0.848, 40.385, 2.891, 2.406, 10.000, 0.832, 7.000, -1, 0.000, 0, 0, False, 1666.0, 4296.0, 4647.0, 0.165, 100.000, 43.0, -1, True, 4296.0, 0.845, 100.000, 47.0, -1, True, 4364.0, 0.175, 100.000, 50.0, -1, True, 4806.0, 0.190, 100.000, 43.0, -1, True, 4589.0, 0.190, 100.000, 46.0, -1, True, 4842.0, 0.155, 100.000, 36.0, -1, True, 4296.0
16039, 19, 19, 2.158, 13.976, 0.526, 295.951, 0.966, 11.194, 2.579, 2.795, 14.000, 1.084, 9.000, -1, 0.000, 0, 0, False, 1053.0, 1084.0, 1259.0, 0.045, 100.000, 51.0, -1, True, 1404.0, 0.160, 100.000, 48.0, -1, True, 1084.0, 0.040, 100.000, 50.0, -1, True, 1126.0, 0.046, 100.000, 58.0, -1, True, 1105.0, 0.039, 100.000, 54.0, -1, True, 1432.0, 0.035, 100.000, 44.0, -1, True, 1084.0
16040, 22, 18, 7.182, 4.968, 3.682, 307.930, 0.590, 82.264, 6.682, 1.323, 5.000, 0.198, 5.000, -1, 0.000, 0, 0, False, 3954.0, 4046.0, 4046.0, 0.060, 100.000, 0.0, -1, False, 4066.0, 0.080, 100.000, 0.0, -1, False, 4046.0, 0.060, 100.000, 0.0, -1, False, 4046.0, 0.055, 100.000, 0.0, -1, False, 4066.0, 0.065, 100.000, 0.0, -1, False, 4046.0, 0.055, 100.000, 0.0, -1, False, 4046.0
