Problem_ID, |Operations|, |Resources|, Avg(Mi), Avg(Rim), Avg(pref), Avg(Tim), Avg(Him), Avg(Dim), Rim_mean, Rim_stdev, Rim_median, Rim_CV, Rim_range, Cross_resources, Total_run_time, Nodes, Queue_size, MIP_infeasible, longest_preceding, mean_preceding, LB, UB, greedy_1, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_2, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_3, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_4, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_5, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_6, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_7, time, feasibles, cross_resources, improved_generation, cross_best_solution, solution
16039, 19, 19, 2.158, 13.976, 0.526, 295.951, 0.966, 11.194, 2.579, 2.795, 14.000, 1.084, 9.000, 33908, 0.001, 0, 0, False, 3, 0.5789473684210527, 1053.0, 1053.0, 1206.0, 0.056, 100.000, 45.0, -1, True, 1404.0, 0.227, 100.000, 48.0, -1, True, 1053.0, 0.048, 100.000, 60.0, -1, True, 1071.0, 0.075, 100.000, 50.0, -1, True, 1053.0, 0.045, 100.000, 58.0, -1, True, 1053.0, 0.041, 100.000, 53.0, -1, True, 1059.0, 0.047, 100.000, 55.0, -1, True, 1053.0
16037, 45, 10, 2.400, 7.639, 3.822, 307.120, 0.934, 22.387, 1.800, 1.804, 8.000, 1.002, 5.000, 63642, 0.000, 0, 0, False, 27, 14.511111111111111, 7899.0, 7909.0, 8050.0, 0.123, 100.000, 30.0, -1, True, 8195.0, 0.165, 100.000, 29.0, -1, True, 7909.0, 0.117, 100.000, 29.0, -1, True, 8180.0, 0.122, 100.000, 25.0, -1, True, 8181.0, 0.149, 100.000, 32.0, -1, True, 8203.0, 0.149, 100.000, 31.0, -1, True, 8153.0, 0.149, 100.000, 30.0, -1, True, 7909.0
16027, 75, 8, 7.427, 2.488, 1.053, 300.106, 0.607, 93.470, 2.760, 0.430, 2.000, 0.156, 1.000, 41716, 0.001, 0, 0, False, 17, 4.773333333333333, 4110.0, 4155.0, 4829.0, 0.337, 100.000, 8.0, -1, True, 4993.0, 1.582, 100.000, 11.0, -1, True, 4155.0, 0.382, 100.000, 14.0, -1, True, 4912.0, 0.398, 100.000, 13.0, -1, True, 4413.0, 0.388, 100.000, 14.0, -1, True, 4816.0, 0.454, 100.000, 10.0, -1, True, 4360.0, 0.405, 100.000, 13.0, -1, True, 4155.0
16040, 22, 18, 7.182, 4.968, 3.682, 307.930, 0.590, 82.264, 6.682, 1.323, 5.000, 0.198, 5.000, 6606, 0.000, 0, 0, False, 16, 7.909090909090909, 3954.0, 4046.0, 4046.0, 0.088, 100.000, 0.0, -1, False, 4066.0, 0.115, 100.000, 0.0, -1, False, 4046.0, 0.062, 100.000, 0.0, -1, False, 4046.0, 0.089, 100.000, 0.0, -1, False, 4066.0, 0.106, 100.000, 0.0, -1, False, 4054.0, 0.079, 100.000, 0.0, -1, False, 4046.0, 0.080, 100.000, 0.0, -1, False, 4046.0
16036, 44, 19, 2.591, 14.474, 4.045, 311.640, 0.893, 31.693, 4.045, 2.761, 15.000, 0.683, 9.000, 267222, 0.000, 0, 0, False, 27, 13.25, 7941.0, 8010.0, 8490.0, 0.270, 100.000, 23.0, -1, True, 8592.0, 0.460, 100.000, 16.0, -1, True, 8010.0, 0.265, 100.000, 26.0, -1, True, 8652.0, 0.245, 100.000, 19.0, -1, True, 8799.0, 0.314, 100.000, 20.0, -1, True, 8715.0, 0.282, 100.000, 22.0, -1, True, 8622.0, 0.241, 100.000, 21.0, -1, True, 8010.0
16038, 46, 14, 2.478, 10.360, 0.935, 290.623, 0.848, 40.385, 2.891, 2.406, 10.000, 0.832, 7.000, 165140, 0.000, 0, 0, False, 6, 1.5869565217391304, 1666.0, 4262.0, 4469.0, 0.279, 100.000, 42.0, -1, True, 4296.0, 1.188, 100.000, 47.0, -1, True, 4282.0, 0.212, 100.000, 49.0, -1, True, 4397.0, 0.248, 100.000, 50.0, -1, True, 4283.0, 0.214, 100.000, 47.0, -1, True, 4532.0, 0.218, 100.000, 47.0, -1, True, 4262.0, 0.250, 100.000, 51.0, -1, True, 4262.0
16031, 68, 4, 7.456, 3.073, 0.926, 304.209, 0.822, 67.510, 1.897, 0.306, 3.000, 0.161, 1.000, 324442, 0.000, 0, 0, False, 11, 2.2058823529411766, 2752.0, 4216.0, 4968.0, 0.424, 100.000, 53.0, -1, True, 4749.0, 3.032, 100.000, 54.0, -1, True, 4304.0, 0.408, 100.000, 74.0, -1, True, 4742.0, 0.388, 100.000, 49.0, -1, True, 4216.0, 0.426, 100.000, 49.0, -1, True, 4708.0, 0.432, 100.000, 54.0, -1, True, 4317.0, 0.489, 100.000, 71.0, -1, True, 4216.0
16042, 26, 18, 7.500, 4.872, 0.923, 293.585, 0.569, 81.120, 6.808, 1.234, 5.000, 0.181, 4.000, 15788, 0.000, 0, 0, False, 10, 3, 2489.0, 2489.0, 2642.0, 0.115, 100.000, 2.0, -1, True, 2952.0, 0.407, 100.000, 5.0, -1, True, 2489.0, 0.151, 100.000, 5.0, -1, True, 2545.0, 0.104, 100.000, 1.0, -1, True, 2628.0, 0.155, 100.000, 8.0, -1, True, 2641.0, 0.113, 100.000, 3.0, -1, True, 2549.0, 0.121, 100.000, 2.0, -1, True, 2489.0
16044, 12, 17, 7.750, 12.828, 2.417, 295.914, 0.877, 34.010, 6.250, 1.422, 13.000, 0.228, 4.000, 33004, 0.000, 0, 0, False, 7, 4.583333333333333, 1966.0, 1969.0, 1969.0, 0.087, 100.000, 7.0, -1, True, 2141.0, 0.084, 100.000, 4.0, -1, True, 1969.0, 0.058, 100.000, 7.0, -1, True, 1969.0, 0.059, 100.000, 7.0, -1, True, 1969.0, 0.080, 100.000, 7.0, -1, True, 1969.0, 0.076, 100.000, 7.0, -1, True, 2124.0, 0.084, 100.000, 4.0, -1, True, 1969.0
16041, 49, 11, 7.449, 3.384, 4.000, 300.575, 0.679, 64.419, 4.347, 0.925, 3.000, 0.213, 3.000, 30072, 0.000, 0, 0, False, 32, 16.836734693877553, 7627.0, 7677.0, 7798.0, 0.210, 100.000, 1.0, -1, True, 7770.0, 0.341, 100.000, 4.0, -1, True, 7677.0, 0.195, 100.000, 4.0, -1, True, 7819.0, 0.196, 100.000, 4.0, -1, True, 7877.0, 0.262, 100.000, 4.0, -1, True, 7826.0, 0.218, 100.000, 2.0, -1, True, 7709.0, 0.219, 100.000, 4.0, -1, True, 7677.0
